repo,stars,description,readme_summary,category
openforcefield/openff-recharge,40,An automated framework for generating optimized partial charges for molecules,| **Test status** | [![CI Status](https://github.com/openforcefield/openff-recharge/workflows/ci/badge.svg)](https://github.com/openforcefield/openff-recharge/actions?query=branch%3Amain+workflow%3Aci) | [![pre-commit.ci status](https://results.pre-commit.ci/badge/github/openforcefield/openff-recharge/main.svg)](https:…,other
OpenFreeEnergy/gufe,40,core data models of the Open Free Energy ecosystem,"gufe is a toolkit for developers of software related to alchemical free energy calculations, containing data models and abstract base classes.",free-energy
OpenFreeEnergy/kartograf,38,This package contains tools for setting up hybrid-topology FE calculations,Kartograf: A Geometry-Based Atom Mapper ==================================,free-energy
czodrowskilab/5minfame,38,,"In the Czodrowski lab (www.czodrowskilab.org) group meeting, we started a session ""5 Minutes of Fame"". Here, we update each other about any sort of (scientific/technological) news that might be of interest to the group.",other
openforcefield/qca-dataset-submission,36,Data generation and submission scripts for the QCArchive ecosystem.,All datasets submitted to QCArchive via this repository conform to the [Dataset Lifecycle](#the-lifecycle-of-a-dataset-submission).,other
ByteDance-Seed/byteff2,35,,"👋 Hi, everyone!",machine-learning
OpenFreeEnergy/IndustryBenchmarks2024,35,Repository for the 2024 OpenFE industry benchmark efforts,Welcome to the OpenFE 2024 Benchmarking Project!,free-energy
yxnyu/SakePP,35,Quantifying Protein-Protein Interaction with a Spatial Attention Kinetic Graph Neural Network,SAKE-PP: Spatial Attention Kinetic GNN for Protein–Protein Interactions ==============================================,machine-learning
plainerman/DiffDock-Pocket,34,Implementation of DiffDock-Pocket: Diffusion for Pocket-Level Docking with Side Chain Flexibility,DiffDock-Pocket is an all-atom docking model operating on the pocket level. It implements diffusion over side chain torsion angles and is optimized for computationally generated structures.,pose-generation
GilsonLabUCSD/pAPRika,34,Advanced toolkit for binding free energy calculations,"pAPRika is a toolkit for setting up, running, and analyzing free energy molecular dynamics simulations.",free-energy
adamlaho/AMLP,34,"AMLP integrates dataset creation, input/output handling, and analysis for machine learning interatomic potentials. It supports Gaussian, VASP, and CP2K, with LLM agents for code selection and ASE-based AMLP-Analysis for molecular simulations and validation.","The Automated Machine Learning Pipeline (AMLP) provides an integrated framework that unifies the entire workflow from dataset creation to model validation. It leverages large language model (LLM) agents to assist with electronic-structure code selection, thereby reducing the manual effort typically required.",machine-learning
InternScience/ChemClaw,32,ChemClaw — The first chemistry-native AI agent skill library.,```bash npx skills add InternScience/ChemClaw ```,other
forlilab/cosolvkit,31,CosolvKit is a versatile tool for cosolvent MD preparation and analysis ,The python package for creating cosolvent system.,md-setup-and-analysis
openforcefield/ccpbiosim-2023,31,Materials for 2023 workshop at CCPBioSim Training Week https://www.ccpbiosim.ac.uk/events/upcoming-events/eventdetail/104/-/training-week,Presenters:,other
SimonBoothroyd/absolv,30,Absolute solvation free energy calculations with OpenFF and OpenMM,---,free-energy
