repo,url,how,evidence_url
MobleyLab/qm-theory-benchmark,https://github.com/MobleyLab/qm-theory-benchmark,import openff.toolkit (Jupyter notebook),https://github.com/MobleyLab/qm-theory-benchmark/blob/9a0e895d58f1487ca749a17526efd854ffe3e8a2/4.local_runs.ipynb
MobleyLab/slow-rotations,https://github.com/MobleyLab/slow-rotations,import openff.toolkit (Python),https://github.com/MobleyLab/slow-rotations/blob/ddc6b91395bf7cee0dfaa97c1dc52846a3ace74b/slow_rotations/molconverter.py
MobleyLab/wbointerpolation,https://github.com/MobleyLab/wbointerpolation,import openff.toolkit (Python),https://github.com/MobleyLab/wbointerpolation/blob/34bcf30977af46c0b047cd46985e9169354bcd04/torsion_analysis.py
MolSSI/mmic_openff,https://github.com/MolSSI/mmic_openff,import openff.toolkit (Python),https://github.com/MolSSI/mmic_openff/blob/96f35f6aff76281efc3e7a468dbffe68369952d7/mmic_openff/tests/test_mmic_openff_mol.py
MolecularAI/maize-contrib,https://github.com/MolecularAI/maize-contrib,import openff.toolkit (Python),https://github.com/MolecularAI/maize-contrib/blob/9b08b167a3259f01d6801925143c6dec0d00dccd/maize/steps/mai/md/ofe.py
MolecularAI/reinforcement-learning-active-learning,https://github.com/MolecularAI/reinforcement-learning-active-learning,import openff.toolkit (Python),https://github.com/MolecularAI/reinforcement-learning-active-learning/blob/92caa2fb11b9519307b433e489fbc97e71a217c2/icolos/src/icolos/core/workflow_steps/gromacs/pdb2gmx.py
Navantock/SE3Set,https://github.com/Navantock/SE3Set,import openff.toolkit (Python),https://github.com/Navantock/SE3Set/blob/50f2e24a86861460a9bd69573c32e7fb785ef3b6/se3set/data/md22.py
NeoBinder/NeoDynamics,https://github.com/NeoBinder/NeoDynamics,import openff.toolkit (Python),https://github.com/NeoBinder/NeoDynamics/blob/9ea9a8aa6baaf874525e183e9b50965fdbb88a6a/src/neomd/builder/ligand.py
NeuroAI-PNU/Drug_Discovery,https://github.com/NeuroAI-PNU/Drug_Discovery,import openff.toolkit (Python),https://github.com/NeuroAI-PNU/Drug_Discovery/blob/e3901411839a80f837c9966685160fa16bfb083d/MolecularDynamics/5_alchemical_free_energy/20250131_alchemical_free_energy_calculation_rank_1_3.py
NeuroAI-PNU/MolecularDynamics,https://github.com/NeuroAI-PNU/MolecularDynamics,import openff.toolkit (Python),https://github.com/NeuroAI-PNU/MolecularDynamics/blob/d04da2359f3ca59382f0cdcfc37e2de31bea9f3c/MD%20simulation/20240905_rank_50ns_PME_tmux_8_final_2.py
